epoch,training_sampled_bce,validation_sampled_bce,validation_full_bce,validation_rule_macro_average_precision
1,0.04460531277349219,0.008355202251550509,0.003674244655113149,0.7223605666187249
2,0.006672548214167667,0.005240137918463006,0.003484969213273958,0.8287642251323387
3,0.0036817937261851815,0.00623808418254157,0.0020332106241311987,0.8378305553649056
4,0.0041107154629329064,0.004585782352364731,0.0008813381465674758,0.8687401992685749
5,0.00283432322430599,0.005324877596990518,0.0019336935002048652,0.866621143313429
6,0.002311721303218898,0.007671382317653297,0.002603058260454754,0.9112073897192038
7,0.0021154517696898743,0.007900157564563415,0.001433228745523618,0.9312428981197695
8,0.00243011944105092,0.010107459053244838,0.002191612462909878,0.9281068474602564
9,0.0015012136197522826,0.004148759922514955,0.0019743039952433063,0.9133751175941552
10,0.002883266617609479,0.010342129397713506,0.0017941058354298037,0.8951666508257784
11,0.0015181972267055244,0.004017714391096661,0.0028736659688700533,0.8627035854737845
12,0.002278678212624072,0.007477454005851314,0.00160067687487704,0.9498405374173435
13,0.0014812640883368052,0.004119253111255716,0.001788213438114756,0.9404621448491017
14,0.0027348213987837275,0.008429309193601853,0.0016021796879891095,0.9120959826442689
15,0.0019461437034169649,0.005773856509946995,0.00323755717652219,0.9221491000294484
16,0.0013052601525911692,0.005553267511501758,0.0009432728292387646,0.9409684494602827
17,0.0011852174859935379,0.0027811572798981388,0.0008863772847428656,0.9130020963137705
